n	allocate	freeUp	freeDown	freeScattered
305	2035.96	631.316	1919.46	774.51
306	2047.73	633.888	1944.55	784.357
307	2045.97	632.214	1921.62	767.735
308	2035.32	629.653	1969.66	767.571
309	2039.01	632.143	1949.36	779.673
310	2019.72	624.337	1931.62	774.908
311	2061.39	624.296	1910.96	769.459
312	2035.52	621.48	1918.73	783.337
313	2138.43	655.694	1985.99	829.694
314	2132.55	642.582	2032.43	826.551
315	2108.49	637.245	2049	826.01
316	2066.99	623.051	2025.09	826.837
317	2122.02	651.112	2041.62	824.643
318	2120.61	646.878	2024.36	830.786
319	2120.29	644.541	2042.62	839.071
320	2137.53	668.112	2043.49	828.724
321	2116.16	651.959	1996.01	836.582
322	2115.29	649.01	2028.59	829.439
323	2152.68	693.367	2033.5	831.816
324	2115.31	662.337	1998.47	837.367
325	2138.7	658.5	2037.78	833.612
326	2127.91	652.592	2034.94	839.214
327	2146.56	686.327	2024.84	818.51
328	2161.03	675.286	2020.51	828.439
329	2242.57	703.102	2141.56	831.51
330	2206.95	672.98	2129.74	833.949
331	2226.82	691.102	2149.12	826.459
332	2184.35	672.082	2114.62	837.571
333	2220.01	689.643	2094.07	843.908
334	2208.43	668.602	2127.72	852.296
335	2207.16	670.786	2172.5	840.286
336	2209.54	669.214	2142.04	829.194
337	2225.6	661.724	2095.68	849.224
338	2208.92	690.194	2121.12	837.827
339	2185.27	671.306	2108.54	841.255
340	2204.03	674.48	2129.56	851.378
341	2209.29	663.949	2159.5	852.51
342	2209.65	662.01	2117.66	844.48
343	2208.36	663.02	2122.53	857.306
344	2192.79	671.694	2164.21	848.153
345	2277.27	686.796	2281.84	899.061
346	2283.36	693.582	2294.09	915.429
347	2167.51	647.061	2289.35	905.316
348	2300.39	679.959	2318.46	906.837
349	2306.17	709.367	2285.82	903.827
350	2347.83	721.776	2314.14	896.571
351	2331.64	710.408	2319.52	886.388
352	2293.63	718.122	2384.62	906.98
353	2316.18	734.082	2282.35	904.755
354	2307.76	720.765	2316.73	898.194
355	2345.06	719.684	2313.29	908.061
356	2327.03	725.204	2290.84	906.102
357	2351.48	738.633	2376.19	894.939
358	2345.15	741.898	2404.01	891.418
359	2335.64	739.398	2281.7	887.204
360	2313.91	725.367	2320.12	891.214
361	2404	776.582	2496.92	957.459
362	2417.36	782.643	2514.74	947.133
363	2425.06	789.276	2482.97	962.214
364	2435.12	790.51	2522.73	953.51
365	2423.14	778.806	2493.16	956.571
366	2431.93	759.857	2495.45	947.847
367	2442.98	780.939	2506.52	950.337
368	2428.26	769.959	2486.27	942.714
369	2404.46	774.337	2522.4	948.949
370	2424.72	775.337	2506.01	946.959
371	2407.98	779.633	2503.17	938.5
372	2414.3	777.347	2495.46	938.01
373	2412.87	767.714	2528.05	951.173
374	2416.59	771.031	2507.09	992.796
375	2407.8	766.561	2507.65	953.684
376	2435.05	770.112	2450.74	965.061
377	2526.47	772.551	2666.22	955.449
378	2538.33	772.49	2744.13	948.531
379	2499.18	752.98	2720.59	948.806
380	2495.67	754.745	2692.72	949.98
381	2512.19	762.765	2698.9	944.806
382	2514.56	762.99	2643.02	942.051
383	2505.82	747.663	2707.66	952.755
384	2513.51	751.878	2673.56	963.571
385	2511.21	755.286	2658.95	951.755
386	2509.73	757.694	2622.61	956
387	2526.08	761.908	2628.55	942.102
388	2499.27	754.153	2696.99	934.643
389	2518.44	751.01	2661.77	949.071
390	2539.23	776.622	2696.04	949.031
391	2493.81	755.51	2666.28	955.133
392	2526.57	763.98	2662	961.337
393	2600.08	782.112	2726.77	932.143
394	2623.37	794.429	2683.6	934.245
395	2616.97	792.551	2679.7	946.204
396	2612.68	796.571	2726.49	942.071
397	2643.11	804.561	2732.5	960.265
398	2653.84	807.694	2663.31	949
399	2592.65	791.449	2697.79	947.449
400	2638.68	793.153	2781.57	947.214
401	2642.76	814.765	2724.99	956.449
402	2624.64	792.582	2680.63	940.061
403	2638.89	807.52	2719.99	924.837
404	2634	788.765	2656.81	936.439
405	2625.72	821.49	2668.66	951.714
406	2636.26	804.847	2783.8	938.276
407	2635.64	795.378	2700.49	953.48
408	2615.9	805.347	2733.7	952.908
409	2709.55	822.153	2902.59	1061.06
410	2657.65	799.398	2870.53	1027.88
411	2706.34	814.806	2897.11	1027.76
412	2710.3	812.296	2868.81	1029.83
413	2677.15	817.622	2859.96	1056.21
414	2673.07	793.959	2879.97	1018.38
415	2717.65	839.367	2914.21	1044.9
416	2703.66	816.306	2922.24	1050.14
417	2694.14	808.806	2875.68	1035.98
418	2684.96	794.714	2913.82	1045.53
419	2689.54	795.776	2904.77	1031.12
420	2672.03	801.337	2928.33	1071.13
421	2728.26	826.071	2920.03	1057.49
422	2718.2	817.469	2923.38	1054.65
423	2701.95	799.765	2858.97	1025.51
424	2687.04	812.51	2892.99	1077.41
425	2831.41	835.714	2974.69	1024.57
426	2874.07	870.184	2930.01	1010.31
427	2904.14	880.898	2950.1	1019.28
428	2923.36	877.867	2928.3	1031.4
429	2871.15	856.265	2906.48	1024.56
430	2869.77	866.357	2867.57	1025.37
431	3007.52	904.204	2903.28	1029.12
432	2882.71	869.847	2920.22	1011.02
433	2876.54	866.643	2936.38	1030.39
434	2841.53	849.714	2764.17	1021.46
435	2919.93	875.122	2925.4	1024.06
436	2897.02	876.082	2938.93	1015.57
437	2878.59	872.52	2902.96	1012.87
438	2937.51	885.776	2916.97	1017.97
439	2837.4	838.112	2981.14	1014.54
440	2887.91	864.898	2961.69	1038.93
441	3055.76	905.071	3031.49	1048.66
442	3023.79	896.102	3121.12	1060.64
443	3031.66	868.704	3049.54	1055.35
444	2993.82	930.99	3037.99	1061.81
445	3059.23	903.714	3105.54	1051.64
446	2955.68	877.806	2988.55	1057.02
447	3052.37	918.235	3063.34	1064.41
448	2970.76	875.551	3084.42	1027.88
449	3020.93	897.531	3037.83	1062.58
450	2968.03	887.735	3045.96	1039.74
451	2978.15	881.184	2937.5	1054.23
452	3138.15	946.286	3078.44	1049.85
453	3011.54	902.816	3063.79	1055.22
454	2999.7	889.796	3085.58	1054.91
455	3047.35	907.5	3087.9	1057.95
456	3072.99	916.867	3069.82	1058.24
457	2988.89	881.133	3117.07	1045.61
458	3016.78	879.163	3160.59	1048.6
459	3080.28	895.643	3298.37	1042.45
460	3048.3	894.51	3198.4	1030.62
461	3055.61	882.786	3170.88	1043.52
462	2882.56	837.684	3296.89	1050.16
463	3046.8	894.357	3224.46	1073.41
464	3043.64	892.48	3177.08	1045.11
465	3004.69	883.316	3255.68	1054.71
466	2986.12	884.5	3185.54	1046.52
467	3033.97	887.592	3342.26	1040.33
468	3016.9	890.071	3153.86	1022.98
469	3060.16	889.99	3284.72	1057.49
470	2982.3	870.51	3332.05	1034.95
471	3023.18	878.276	3275.37	1042.16
472	3040.17	893.429	3269.55	1048.8
473	3099.28	908.041	3279.74	1098.92
474	3079.07	899.388	3326.42	1106.3
475	3105.31	897.265	3362.19	1101.02
476	3084.55	921.408	3332.12	1099.72
477	3097.01	912.959	3363.44	1110.43
478	3051.07	905.02	3425.67	1099.54
479	3068.09	900.296	3292.9	1101.6
480	3054.8	890.633	3463.99	1083.26
481	3001.65	875.306	3339.21	1105.3
482	3066.54	888.051	3299.97	1091.7
483	3067.36	898.041	3261.08	1097.55
484	3107.61	909.806	3362.91	1104.04
485	3085.99	897.102	3267.7	1098.21
486	3088.22	899.847	3365.33	1103.4
487	3058.9	903.633	3326.35	1116.16
488	3061.43	911.816	3469.06	1097.09
489	3116.82	1028.37	3469.65	1655.52
490	3129.95	1034.62	3407.26	1643.22
491	3118.53	1038.94	3401.03	1634.61
492	3155.95	1050.38	3401.29	1634.87
493	3149.03	1041.27	3341.74	1632.7
494	3094.56	1031.46	3408.69	1654.23
495	3058.82	1025.88	3335.19	1656.23
496	3138.23	1046.96	3386.59	1655.79
497	3124.34	1040.72	3306.36	1656.09
498	3161.4	1060.68	3393.69	1638.43
499	3144.59	1034.68	3284.67	1622.4
500	3014.95	1014.4	3314.98	1638.29
501	3147.48	1036.59	3347.09	1641.43
502	3160.98	1033.1	3311.37	1623.17
503	3131.2	1042.5	3308.09	1669.12
504	3174.12	1039.5	3272.39	1647.88
505	3277.41	940.061	3493.66	1212.06
506	3230.95	934.918	3453.38	1195.56
507	3282.44	947.173	3466.66	1213.51
508	3249.2	939.714	3435.68	1186.19
509	3257.37	935.98	3502.09	1213.84
510	3239.05	941.776	3662.6	1207.34
511	3241.03	931.908	3598.03	1205.93
512	3245.87	921.224	3660.21	1123.34
513	3235.18	944.224	3482.65	1116.46
514	3235.17	933.949	3479.19	1111.5
515	3238.08	936.112	3636.14	1115.79
516	3242.83	942.092	3617.17	1123.57
517	3182.27	922.204	3461.65	1120.08
518	3279.51	945.031	3536.8	1148.76
519	3244.32	940.469	3649.15	1113.01
520	3228.34	941.653	3597.85	1112.74
521	3361.96	976.092	3533.16	1132.58
522	3362.5	977.173	3641.98	1140.67
523	3378.19	980.49	3447.49	1141.72
524	3386.12	1005.66	3633.55	1165.36
525	3373.15	974.051	3519.04	1208.01
526	3370.8	978.306	3662.08	1202.84
527	3367.7	974.867	3614.89	1167.03
528	3253.55	928.602	3557.48	1226.79
529	3440.6	996.214	3563.03	1202.69
530	3373.8	982.163	3596.38	1161.29
531	3406.14	978.582	3478.58	1173.53
532	3405.79	991.633	3699.41	1171.95
533	3418.16	996.592	3509.05	1148.38
534	3416.38	994.235	3467.51	1192.82
535	3364.74	965.673	3582.91	1203.6
536	3372.76	980.541	3567.64	1188.37
537	3464.51	994.663	3825.13	1332.64
538	3513.77	1024.01	3819.39	1344.28
539	3462.66	984.633	3869.77	1331.31
540	3542.23	1019.15	3709.31	1350.12
541	3606.18	1039.3	3827.14	1343.06
542	3484.85	994.602	3734.22	1316.59
543	3526.81	1011.92	3704.66	1316.2
544	3347.43	971.622	3724.14	1345.1
545	3555.83	1012.91	3654.57	1327.5
546	3553.35	1052.28	3680.83	1347.66
547	3644.77	1048.69	3781.89	1345.21
548	3571.06	1035.4	3666.78	1313.87
549	3581.27	1028.22	3681.19	1347.02
550	3561.01	1037.83	3666.54	1342.19
551	3535.62	1010.07	3748.35	1360.34
552	3570.98	1017.14	3718.31	1331.43
553	3724.08	1068.37	3664.01	1282.43
554	3655.17	1038.8	3727.96	1367.47
